Unit,Chapter,Lesson,Description,Assignments,Notes,Videos
Unit 2: Web Development,Chapter 2: Multi-page Websites,Lesson 18: CSS Pseudo-classes,"Question of the Day: What is a CSS pseudo-class, and how does it change the way an element looks or behaves on a web page? Students learn about pseudo-classes like `hover`, `active`, and `visited` to add interactivity to their web pages."
Unit 2: Web Development,Chapter 2: Multi-page Websites,Lesson 19: Planning a Multi-Page Site,"Question of the Day: How do we plan a web page as a group? Students collaborate to sketch their website layout, organize tasks, and assign responsibilities among team members for building their multi-page site."
Unit 2: Web Development,Chapter 2: Multi-page Websites,Lesson 20: Project - Website for a Purpose,"Question of the Day: What skills and practices will help us work together to make a great website? Teams use the project guide to code their multi-page website, applying their HTML and CSS skills to create a purposeful site with cohesive styling."
Unit 2: Web Development,Chapter 2: Multi-page Websites,Lesson 21: Peer Review and Final Touches,"Question of the Day: How can we use feedback to make our websites better? Students give and receive peer feedback, make final improvements to their websites, and reflect on their process as they finish their multi-page project."
Unit 3: Interactive Animations and Games,Chapter 1: Images and Animations,Lesson 1: Programming for a Purpose,"Question of the Day: How can we design animations and games based on the needs of a user? Students investigate and prototype animations and game designs for different users, concluding with a discussion on what it means to be a designer.",CSD/Unit_3_Chapter_1_Lesson_1/U3L01 Activity Guide - Word Search.pdf; CSD/Unit_3_Chapter_1_Lesson_1/U3L01 - Activity Guide - Animation and Game Designs for Users.pdf,CSD/Unit_3_Chapter_1_Lesson_1/CSD Interactive Animations and Games - Lesson 01 - Programming for a Purpose.pptx;CSD/Unit_3_Chapter_1_Lesson_1/U3L01 - Digital Resource - Animation and Game Design Template.pdf,CSD/problemsolvingprocess-mp4.mp4
Unit 3: Interactive Animations and Games,Chapter 1: Images and Animations,Lesson 2: Plotting Shapes,"Question of the Day: How can we clearly communicate how to draw something on a screen? Students explore Game Lab's coordinate system, using shapes to create images and communicating drawing instructions with partners."
Unit 3: Interactive Animations and Games,Chapter 1: Images and Animations,Lesson 3: Drawing in Game Lab,"Question of the Day: How can we communicate to a computer how to draw shapes on the screen? Students explore Game Lab's development environment, learning basic shape-drawing commands and debugging techniques."
Unit 3: Interactive Animations and Games,Chapter 1: Images and Animations,Lesson 4: Shapes and Parameters,"Question of the Day: How can we use parameters to give the computer more specific instructions? Students manipulate shapes by adjusting width, height, and positioning parameters to increase the complexity of their drawings."
Unit 3: Interactive Animations and Games,Chapter 1: Images and Animations,Lesson 5: Variables,"Question of the Day: How can we use variables to store information in our programs? Students explore variables as a way to label values, understanding how they store and reuse data within programs."
Unit 3: Interactive Animations and Games,Chapter 1: Images and Animations,Lesson 6: Random Numbers,Question of the Day: How can we make our programs behave differently each time they are run? Students learn to use the randomNumber() block to introduce variability and randomness in their programs.
Unit 3: Interactive Animations and Games,Chapter 1: Images and Animations,Lesson 7: Mini-Project - Robot Faces,"Question of the Day: How can we use shapes, variables, and randomness to express our creativity? Students apply their knowledge to design and code a robot face using shapes, variables, and randomness in Game Lab."
Unit 3: Interactive Animations and Games,Chapter 1: Images and Animations,Lesson 8: Sprites,Question of the Day: How can we use sprites to help us keep track of lots of information in our programs? Students learn to use sprites as objects that combine shape and properties for more complex images and animations.
Unit 3: Interactive Animations and Games,Chapter 1: Images and Animations,Lesson 9: Sprite Properties,Question of the Day: How can we use sprite properties to change their appearance on the screen? Students explore sprite properties and how they can be modified during program execution to create dynamic effects.
Unit 3: Interactive Animations and Games,Chapter 1: Images and Animations,Lesson 10: Text,"Question of the Day: How can we use text to improve our scenes and animations? Students practice placing and styling text on the screen, using parameters to control text properties like size and position."
Unit 3: Interactive Animations and Games,Chapter 1: Images and Animations,Lesson 11: Mini-Project - Captioned Scenes,"Question of the Day: How can we use Game Lab to express our creativity? Students use shapes, text, and sprites to design and program a captioned scene in Game Lab, showcasing their creativity."
Unit 3: Interactive Animations and Games,Chapter 1: Images and Animations,Lesson 12: The Draw Loop,"Question of the Day: How can we animate our images in Game Lab? Students learn how the draw loop works to create animation, updating the screen repeatedly to simulate motion."
Unit 3: Interactive Animations and Games,Chapter 1: Images and Animations,Lesson 13: Sprite Movement,Question of the Day: How can we control sprite movement in Game Lab? Students use the counter pattern to control sprite movement and explore techniques for purposeful animations.
Unit 3: Interactive Animations and Games,Chapter 1: Images and Animations,Lesson 14: Mini-Project - Animation,"Question of the Day: How can we combine different programming patterns to make a complete animation? Students create animated scenes by combining multiple programming techniques, culminating in a creative project."
